Release Location,LAT,LON,Year,Run,Type,Source,Study,link
SacButteCityRamp,39.46,-121.99,2007,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,39.75,-121.99,2007,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2007,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,39.46,-121.99,2008,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,39.75,-121.99,2008,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2008,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,39.46,-121.99,2009,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,39.75,-121.99,2009,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2009,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,39.46,-121.99,2010,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,39.75,-121.99,2010,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2010,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,40.31,-122.18,2011,Late-fall,Vemco,CM,"Michel, C.J.,  A.J. Ammann, E.D. Chapman, P.T. Sandstrom, H.E. Fish, M.J. Thomas, G.P. Singer, S.T. Lindley, A.P. Klimley, R.B. MacFarlane. 2013. The effects of environmental factors on the migratory movement patterns of Sacramento River yearling late-fall run Chinook salmon (Oncorhynchus tshawytscha). Environmental Biology of Fishes.",https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
Sacramento River System Release Site,38.48826,-121.618805,2012,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
Yolo Bypass Release Site,38.67762,-121.64416,2012,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
BattleCk_CNFH,40.398136,-122.145295,2013,Fall,JSAT,CM,"Zeug, S.C. 2016. Survival of juvenile Chinook salmon from the Lower American River to the Golden Gate Bridge.  Technical Memorandum to the Sacramento Water Forum, December 2016.",
Caldwell Park_Rel,40.593826,-122.398363,2013,Winter,JSAT,CM,Winter run AT 2013-2017 Report DRAFT,
FR_Boyds_Rel,39.057334,-121.610655,2013,Spring,JSAT,CM,"Cordoleani, F., J. Notch, A.S. McHuron, A.J. Ammann, C.J. Michel. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ",https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
FR_Gridley_Rel,39.356356,-121.634895,2013,Spring,JSAT,CM,Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Sac_Ist_Bridge_Rel,38.585627,-121.506439,2013,Spring&Fall,JSAT,CM,Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Sacramento River System Release Site,38.48826,-121.618805,2013,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
Tisdale Release,39.024323,-121.821869,2013,Unknown,JSAT,CM,Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Yolo Bypass Release Site,38.67762,-121.64416,2013,Late-fall,Vemco,MJ,"Johnston, M.E., A.E. Steel, M. Espe, T. Sommer, A.P. Klimley, P. Sandstrom, D. Smith. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
Caldwell Park_Rel,40.593826,-122.398363,2014,Winter,JSAT,CM,Winter run AT 2013-2017 Report DRAFT,
Caldwell Park_Rel,40.593826,-122.398363,2015,Winter,JSAT,CM,Winter run AT 2013-2017 Report DRAFT,
Hood_Rel,38.37524,-121.52383,2015,Spring,JSAT,CM,Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
SutterBypass_Weir2_RST_Rel,39.10239,-121.758801,2015,Spring,JSAT,CM,"Cordoleani, F., J. Notch, A.S. McHuron, A.J. Ammann, C.J. Michel. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ",https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
AR_Sunrise_Ramp_Rel,38.636343,-121.264235,2016,Fall,JSAT,CM,"Zeug, S.C. 2016. Survival of juvenile Chinook salmon from the Lower American River to the Golden Gate Bridge.  Technical Memorandum to the Sacramento Water Forum, December 2016.",
BattleCk_CNFH,40.398136,-122.145295,2016,Fall,JSAT,CM,"Zueg, S.C., R. Null, A. Brodsky, M. Johnston, A. Ammann. 2020. Effect of release timing on apparent survival of juvenile fall run Chinook salmon from Coleman National Fish Hatchery. Environmental Biology of Fishes.",https://link.springer.com/article/10.1007/s10641-020-00968-7
Bonnyview_Rel,40.537579,-122.357238,2016,Winter,JSAT,CM,Winter run AT 2013-2017 Report DRAFT,
SutterBypass_Weir2_RST_Rel,39.10239,-121.758801,2016,Spring,JSAT,CM,"Cordoleani, F., J. Notch, A.S. McHuron, A.J. Ammann, C.J. Michel. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ",https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
Tisdale Weir,39.025019,-121.822511,2016,Late-fall,Vemco,JN,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. 2021. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
Verona,38.7821,-121.615,2016,Late-fall,Vemco,JN,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. 2021. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
Yolo Bypass @ Fremont Weir,38.762324,-121.651904,2016,Late-fall,Vemco,JN,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. 2021. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
Yolo Bypass @ I5,38.677746,-121.644409,2016,Late-fall,Vemco,JN,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. 2021. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",https://afspubs.onlinelibrary.wiley.com/doi/epdf/10.1002/tafs.10271
AR_Sunrise_Ramp_Rel,38.636343,-121.264235,2017,Fall,JSAT,CM,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report.pdf,
BattleCk_CNFH,40.398136,-122.145295,2017,Fall,JSAT,CM,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report.pdf,
Caldwell Park_Rel,40.593826,-122.398363,2017,Winter,JSAT,CM,Winter run AT 2013-2017 Report DRAFT,
MillCk_RST_Rel,40.054792,-121.967737,2017,FallWild,JSAT,CM,Notch et al. 2020. Outmigration survival of wild Chinook salmon smolts through the Sacramento River during historic drought and high water conditions. Environmental Biology of Fishes.,https://link.springer.com/content/pdf/10.1007/s10641-020-00952-1.pdf
MillCk_RST_Rel,40.054792,-122.032103,2017,FallWild,JSAT,CM,Notch et al. 2020. Outmigration survival of wild Chinook salmon smolts through the Sacramento River during historic drought and high water conditions. Environmental Biology of Fishes.,https://link.springer.com/content/pdf/10.1007/s10641-020-00952-1.pdf
RBDD_Rel,40.153043,-122.202188,2017,Fall,JSAT,CM,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report,
SutterBypass_Weir2_RST_Rel,39.10239,-121.758801,2017,Spring,JSAT,CM,"Cordoleani, F., J. Notch, A.S. McHuron, A.J. Ammann, C.J. Michel. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ",https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
