Release Location,Year,Run,Lat ,Lon,Study.TG,Study.PG,Study,link
BtlCkCNFHWeir,2007,Late-fall,40.3981,-122.145,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,2008,Late-fall,40.3171,-122.19,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,2008,Late-fall,39.74273,-121.989224,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,2008,Late-fall,39.4569,-121.995,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,2009,Late-fall,40.3171,-122.19,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,2009,Late-fall,39.74273,-121.989224,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,2009,Late-fall,39.4569,-121.995,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
BtlCkCNFHWeir,2010,Late-fall,40.3981,-122.145,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,2010,Late-fall,40.3171,-122.19,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacButteCityRamp,2010,Late-fall,39.4569,-121.995,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacIrvineFinchRamp,2010,Late-fall,39.74273,-121.989224,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
BtlCkCNFHWeir,2011,Late-fall,40.3981,-122.145,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
SacJellyRamp,2011,Late-fall,40.3171,-122.19,Michel et al. 2013,,Michel et al. 2015. Chinook salmon outmigration survival in wet and dry years in California's Sacramento River. Canadian Journal of Fisheries and Aquatic Sciences,https://www.nrcresearchpress.com/doi/abs/10.1139/cjfas-2014-0528#.XrnsjahKi71
BtlCkCNFHWeir,2013,Fall,40.3981,-122.145,,Zueg et al. (in review),Zueg et al 2020. Effect of release timing on apparent survival of juvenile fall run Chinook Salmon from Coleman National Fish Hatchery. Environmental Biology of Fishes.,https://link.springer.com/article/10.1007/s10641-020-00968-7
Sac I St Bridge,2013,Fall,38.5856,-121.5064,,Singer et al. (in review),Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
FR Gridley Release,2013,Spring,39.35787,-121.636,,Singer et al. (in review),Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Sac I St Bridge,2013,Spring,38.5856,-121.5064,,Singer et al. (in review),Singer et al. 2020. Historic drought influences outmigration dynamics of juvenile fall and spring-run Chinook Salmon. Environmental Biology of Fishes,https://link.springer.com/article/10.1007/s10641-020-00975-8
Caldwell Park,2013,Winter,40.59383,-122.3984,,Winter run AT 2013-2017 Report DRAFT.pdf,Winter run AT 2013-2017 Report DRAFT,NA
Mill Creek RST,2013,Wild,40.05479,-122.0321,,Notch et al. 2020,Notch et al. 2020. Outmigration survival of wild Chinook salmon smolts through the Sacramento River during historic drought and high water conditions. Environmental Biology of Fishes.,https://link.springer.com/content/pdf/10.1007/s10641-020-00952-1.pdf
Caldwell Park,2014,Winter,40.59383,-122.3984,,Winter run AT 2013-2017 Report DRAFT.pdf,Winter run AT 2013-2017 Report DRAFT,NA
FR Gridley Release,2015,Spring,39.35787,-121.636,,Cordoleani et al. 2017 TAFS,Cordoleani et al. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
FR Boyds Release,2015,Spring,39.05733,-121.6107,,Cordoleani et al. 2017 TAFS,Cordoleani et al. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
Sutter Bypass RST,2015,Spring,39.10239,-121.7588,,Cordoleani et al. 2017 TAFS,Cordoleani et al. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
Caldwell Park,2015,Winter,40.59383,-122.3984,,Winter run AT 2013-2017 Report DRAFT.pdf,Winter run AT 2013-2017 Report DRAFT,NA
Battle Creek CNFH,2016,Fall,40.3981,-122.145,,Zueg et al. (in review),Zueg et al. 2020. Effect of release timing on apparent survival of juvenile fall run Chinook Salmon from Coleman National Fish Hatchery. Environmental Biology of Fishes.,https://link.springer.com/article/10.1007/s10641-020-00968-7
AR Sunrise Ramp,2016,Fall,38.63634,-121.2642,,Zueg 2016,"Zeug, S.C. 2016. Survival of juvenile Chinook salmon from the Lower American River to the Golden Gate Bridge.  Technical Memorandum to the Sacramento Water Forum, December 2016.",NA
Sutter Bypass RST,2016,Spring,39.10239,-121.7588,,Cordoleani et al. 2017 TAFS,Cordoleani et al. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
Caldwell Park,2016,Winter,40.59383,-122.3984,,Winter run AT 2013-2017 Report DRAFT.pdf,Winter run AT 2013-2017 Report DRAFT,NA
Battle Creek CNFH,2017,Fall,40.3981,-122.145,,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report.pdf,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report,NA
RBDD,2017,Fall,40.15301,-122.1982,,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report.pdf,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report,NA
AR Sunrise Ramp,2017,Fall,38.63634,-121.2642,,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report.pdf,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report,NA
Sherman Island,2017,Fall,38.059547,-121.793569,,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report.pdf,CDFW-NOAA IAA Acoustic Tagging for Trawl Efficiency Final Report,NA
Sutter Bypass RST,2017,Spring,39.10239,-121.7588,,Cordoleani et al. 2017 TAFS,Cordoleani et al. 2017. Movement and survival of wild Chinook salmon smolts from Butte Creek during their outmigration to the ocean: comparison of a dry versus wet year. Transactions of the American Fisheries Society. ,https://afspubs.onlinelibrary.wiley.com/doi/abs/10.1002/tafs.10008
Caldwell Park,2017,Winter,40.59383,-122.3984,,Winter run AT 2013-2017 Report DRAFT.pdf,Winter run AT 2013-2017 Report DRAFT,NA
Bonnyview Release,2017,Winter,40.53758,-122.3572,,Winter run AT 2013-2017 Report DRAFT.pdf,Winter run AT 2013-2017 Report DRAFT,NA
Mill Creek RST,2017,Wild,40.05479,-122.0321,,Notch et al. 2020,Notch et al. 2020. Outmigration survival of wild Chinook salmon smolts through the Sacramento River during historic drought and high water conditions. Environmental Biology of Fishes.,https://link.springer.com/content/pdf/10.1007/s10641-020-00952-1.pdf
Tisdale Weir,2016,Late-fall,39.025019,-121.822511,YBUS,,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. ####. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",NA
Yolo Bypass @ Fremont Weir,2016,Late-fall,38.762324,-121.651904,YBUS,,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. ####. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",NA
Verona,2016,Late-fall,38.7821,-121.615,YBUS,,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. ####. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",NA
Yolo Bypass @ I5,2016,Late-fall,38.677746,-121.644409,YBUS,,"Pope, A.C., R.W. Perry, B.N. Harvey, D.J. Hance, H.C. Hansel. ####. Juvenile Chinook Salmon survival, travel time, and floodplain utilization relative to constrained channels in the Sacramento-San Joaquin River Delta. San Francisco Estuary and Watershed Science.",NA
Yolo Bypass Release Site,2012,Late-fall,38.67762,-121.6442,Johnston et al. 2018,,"Johnston et al. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
Yolo Bypass Release Site,2013,Late-fall,38.67762,-121.6442,Johnston et al. 2019,Johnston et al. 2018,"Johnston et al. 2018. Survival of juvenile Chinook salmon in the Yolo Bypass and the lower Sacramento River, California. San Francisco Estuary and Watershed Science",https://escholarship.org/uc/item/8bq7t7rr
